origin_zone_id,destination_zone_id,base_demand,distance_km,source_flow
150,162,0.045586,11.4845,44427.044527
159,130,0.045403,10.0774,44248.681993
149,131,0.045241,12.4657,44091.730836
159,142,0.045147,17.6198,44000.077739
169,129,0.044938,12.5064,43795.568043
177,141,0.044867,15.7888,43726.677659
159,153,0.044686,22.4537,43550.816715
108,140,0.04455,13.9548,43417.333707
132,169,0.044341,15.777,43214.188089
129,169,0.044149,12.5064,43026.817022
131,139,0.044007,11.4856,42888.342561
162,143,0.043947,7.8796,42830.125802
172,142,0.043894,10.0458,42778.182243
188,140,0.043538,23.7096,42431.176479
149,161,0.04311,11.4854,42014.242719
177,168,0.042935,2.8014,41844.053127
138,129,0.042713,6.2357,41627.705913
152,160,0.042692,11.4845,41606.972457
142,163,0.042662,7.8796,41577.92
132,160,0.042657,13.9394,41573.243207
132,139,0.042376,16.9419,41298.838292
132,130,0.04237,11.1399,41293.01688
140,153,0.042342,16.9412,41266.01312
129,132,0.042114,16.7098,41043.510177
160,131,0.042063,10.0669,40993.874978
149,158,0.041987,6.2355,40920.043053
148,129,0.041981,7.9034,40914.278963
132,159,0.041289,18.6957,40239.298816
169,132,0.041186,15.777,40139.695246
129,161,0.041101,13.9469,40056.467894
158,151,0.041071,16.9421,40026.992116
162,159,0.041061,16.7093,40017.313878
172,152,0.040928,7.8795,39888.001253
159,162,0.040893,16.7093,39853.630202
131,149,0.040861,12.4657,39822.172823
140,162,0.04081,12.4619,39773.072065
117,149,0.040591,10.088,39559.651809
168,177,0.040504,2.8014,39474.785576
161,159,0.040448,11.1395,39419.944063
139,161,0.039871,12.4656,38857.973712
150,153,0.039868,16.7096,38854.871748
131,120,0.039743,2.7932,38733.4391
131,160,0.03974,10.0669,38730.174703
130,160,0.039646,8.392,38638.282648
131,169,0.039559,12.4913,38553.619784
158,141,0.039555,17.6224,38549.465499
119,140,0.03948,5.5947,38476.322879
142,169,0.039459,13.9393,38456.229483
169,153,0.039395,17.6171,38393.794155
152,121,0.039386,8.3668,38385.11362
117,151,0.039298,18.7014,38299.166684
148,141,0.039205,16.9423,38208.938282
162,149,0.039185,16.9416,38188.702853
178,139,0.039058,12.5063,38064.907522
171,140,0.038865,13.9393,37877.674264
129,153,0.038817,22.9693,37830.991287
182,140,0.038768,21.8103,37782.27312
152,149,0.038658,16.7095,37675.501286
160,129,0.038652,10.0774,37669.964969
120,121,0.038621,5.57,37639.198416
160,178,0.038466,5.5945,37488.035337
172,150,0.038318,17.6171,37344.594045
168,129,0.038278,11.2061,37305.473579
118,169,0.038251,15.0646,37278.974733
178,162,0.038104,12.4616,37135.818278
132,149,0.037927,17.62,36963.368589
108,150,0.037675,15.8011,36717.172386
148,151,0.037516,16.7094,36562.862939
162,121,0.037495,11.1557,36542.208819
121,162,0.037467,11.1557,36514.380208
109,149,0.037396,11.2063,36445.63377
163,131,0.037351,13.9319,36401.57959
169,130,0.037274,11.1892,36327.027889
118,161,0.037206,15.7891,36260.177604
152,179,0.037127,10.0562,36183.564622
152,159,0.037081,16.9416,36138.337957
141,170,0.036928,8.3793,35989.505619
142,160,0.036861,12.4619,35923.804127
152,139,0.036714,16.9417,35781.079368
142,139,0.03664,16.7096,35709.239817
153,133,0.036564,5.5694,35635.163791
168,178,0.036546,6.2336,35617.701614
118,153,0.036324,23.8034,35400.747576
160,170,0.036157,6.2318,35238.230461
121,143,0.036142,7.8798,35223.056693
153,169,0.036134,17.6171,35215.930221
139,168,0.036131,8.4045,35212.603077
142,149,0.036019,16.9417,35103.719573
179,159,0.035938,12.4653,35024.21735
162,139,0.035727,17.6198,34818.915392
143,121,0.035679,7.8798,34772.712269
118,132,0.035643,16.9421,34736.695794
108,129,0.035599,7.9036,34694.44437
159,118,0.035592,11.2062,34687.874774
151,121,0.035566,10.0565,34662.55791
172,140,0.035543,18.6899,34639.433214
183,150,0.035345,15.8005,34446.526571
132,163,0.035332,10.0459,34434.282102
118,160,0.035299,12.5065,34401.614164
149,118,0.035277,8.4047,34380.711426
179,153,0.035268,13.9316,34371.759466
139,142,0.035221,16.7096,34325.702774
118,142,0.035191,17.6202,34296.46097
129,168,0.034928,11.2061,34040.16835
168,158,0.034809,6.2355,33924.098472
177,160,0.034614,7.8973,33733.888314
177,178,0.034549,5.5696,33671.37222
170,178,0.034448,6.2317,33573.007313
179,142,0.034168,12.4762,33299.68632
168,161,0.034116,11.4853,33249.129293
149,142,0.034061,16.9417,33195.029595
156,140,0.03403,22.9747,33164.80137
170,153,0.033736,12.458,32879.113433
160,168,0.033555,6.2336,32702.032078
178,153,0.033119,18.6897,32276.975472
131,159,0.033086,13.9469,32244.774845
121,161,0.033009,12.4764,32170.083507
109,131,0.032957,12.466,32119.094893
161,129,0.032839,13.9469,32004.808097
143,131,0.032768,11.4837,31934.82137
149,153,0.032662,22.2794,31831.498079
171,142,0.03266,8.3666,31829.601596
150,118,0.03244,10.0775,31615.261935
141,179,0.032327,11.1723,31505.558921
130,159,0.032237,10.0774,31417.72614
178,131,0.032182,15.0449,31364.1478
170,132,0.032158,12.4763,31340.40559
178,142,0.032079,15.7769,31263.356309
159,170,0.031982,11.4853,31169.079563
130,118,0.031942,6.2339,31130.572055
